full_text,label;;;;
film jumbo hadir disaat ai sudah semakin gila. harapannya ini ga akan jadi pukulan buat industri animasi negeri yang mulai menggeliat tapi jadi potensi kolaborasi yang hebat di masa depan.,senang;;;;
guys ayo ramein film jumbo animasi nya keren banget sama banyak adegan jg bikin aku ketawa belom lagi plotnya asik banget beneran aku waktu nonton beneran gk bosen sama sekali yok ges dukung artist lokal (abis ditawarin nonton kedua kalinya),senang;;;;
ngeliat akhirnya potensi para animator indo dibuktikan dengan film animasi jumbo itu ngebuat gw jadi menggebu gebu jga. jadi semacam kayak game changer buat industri animasi yang sepertinya film (bukan animasi) juga sudah masuk/melewati tahap itu.,senang;;;;
pantesan lagu-lagu di film jumbo relate sama yg udah tua kaya aku,senang;;;;
ayoo nonton film jumbo ceritanya bagus bgttt!! lagunya jg enak semuaa,senang;;;;
laaafff... pujian review terbaik dari kalian adalah ketika kalian bikin fanart karena suka film jumbo ,senang;;;;
katanya film jumbo bagus jom lah kita nonton yang di bandung,senang;;;;
kemarin nonton film jumbo. keren sih animasi dan alur ceritanya. ditambah soundtrack nya juga keren-keren ,senang;;;;
scr keseluruhan keren banget film jumbo huhu belajar dan bikino lagi yg banyak soalnya itu lo awal yang buagus menurutkuuuuuuuuuuuu ,senang;;;;
nonton film jumbo bukan hanya soal bangga lihat teknis visual yang sangat baik tetapi juga bagaimana hati ikut tersentuh bahkan dari awal film dimulai serta tutur cerita yang indah membuktikan bahwa film yang dibuat dari hati akan sampai juga di hati penontonnya.,senang;;;;
dan gue liat ada bea nya domikado di film jumbo arghhhhhhh gue kesenengan sendiri di bioskop sambil nunjuk eh ada beaaaa!! ,senang;;;;
nonton jumbo dari awal udah berkaca-kaca karena ga nyangka indonesia punya film animasi sebagus ini,sedih;;;;
ini di film jumbo ada avengers references wkwkwk geng jumbo maju kayak pas cap bilang avengers assemble cuma karena bahasa indo mungkin ga pada ngeh kecuali merhatiin subtitles english dibawahnya.,senang;;;;
sumpah dari awal baru mulai film jumbo tuh ketika lagi bagian dongeng kalau boleh jujur pas itu mataku udah berkaca-kaca soalnya berasa di dongengin sama orang tua sendiri rasanya kaya pelukan hangat di malam dingin. bener-bener comforting banget. what an amazing story⭐⭐.,sedih;;;;
habis nonton jumbo. film animasi bagus bgt dari alur cerita character development si don pecah sih kesel mulu gua dr menit awal wkwk yang bikin nyes kdang ngerasa juga pernah jadi don. perasaan cucunya yg divalidasi terus sama oma nya soundtrack animasi best lah️,senang;;;;
aku kenapa deh sepanjang film jumbo nangis.. ko mellow terus bawaannya ,sedih;;;;
kemarin abis nonton film jumbo bagi gue itu bagus sih filmnya. udah lama bgt gak nonton² film animasi pas nonton lagi ternyata udah sebagus itu grafik animasinya. apalagi buat sekelas animasi di indonesia behh. big pride and respect for all of the team behind this film!!!,senang;;;;
ah bete ini film jumbo lewat mulu takut kespoilerrrr ,marah;;;;
sebagai penonton setia malam minggu miko turut bangga eh sm film jumbo :(((((,senang;;;;
mungkin ngatain normies yg nonton film asal asalan karena pgn seru seruan itu ada gunannya sorry tapi gua kesel liat ada orang udah dikasir tiket tapi bingung milih nonton dune atau sukutu iblis. lagian bnyak juga kok sinefil yg suka nonton film fun kaya flow atau jumbo.,marah;;;;
bener kata orang di twitter don di film jumbo hampir jadi dontol ke-2 wkwkwkwk,senang;;;;
ini tuh anjing banget tau ga andai pemerintah ga segoblok ini.. negara ini pasti bs ngelahirin banyak ilustrator ilustrator mantep yang dihargai.. dr film jumbo aku sadar indonesia itu bner bner punya banyak orang berbakat banget di industri kreatif,marah;;;;
kmrn sore udh berangkat buat nntn film ini. eh ternyata studio yg nayangin film ini ac-nya malah trouble. akhirnya balik badan bersama lusinan orang yg jg ikut kecewa. ga ikut bikin filmnya tp menyayangkan angka penonton yang gagal tercatat jd penonton jumbo di hari itu.,sedih;;;;
film jumbo bagus sekali. sbg anak yg pernah tumbuh dg tontonan disney dan pixar film jumbo tidak kalah bagus dari kualitas animasi maupun ceritanya.,senang;;;;
yaampun film jumbo lewat di fyp trs pas soundtrack yang liriknya kala nanti badai kan datang angin akan buatmu goyah maafkan. hidup memang ingin kau lebih kuat lgsg nangesssss,sedih;;;;
walopun udah balik ke kamar ttp mewek lagi gara2 denger ost film jumbo mewek jelek bgt lagi ,sedih;;;;
jumbo sih. kirain cuma film kartun aja. tapi ternyata... gilaaa alurnya dibikin amaze dan dikemas dengan baik. tiap adegannya bukan sekedar ocehan basa basi tapi bener2 berisi,senang;;;;
aku mungkin bukan reviewer profesional yang bisa kasih rating angka. tapi yang jelas: film ini layak banget dipromosikan ditonton rame-rame dan ditonton ulang. kalau kamu butuh tontonan yang meaningful tapi tetap menghibur jumbo bisa jadi jawabannya. yuk nonton #filmjumbo di,senang;;;;
aaakk sangat suka dengan promosi film jumbo ini,senang;;;;
ngetawain 5 menit krn chicco jeriko sm ganindra bimo jd dubber kambing di film jumbo ,senang;;;;
bagussssss banget. film jumbo baguuuuus. tapi kalau dari segi alur cerita anak dibawah 10 tahun belum nyampe ya. seenggaknya masih bisa menikmati cerita per scene dan animasinya yang buagus banget ,senang;;;;
ya allah seneng banget semua kalangan pada support jumbo! aku yg cuman penonton aja bangga apalagi para tim yang membuat karya ini... semlga kedepannya makin banyak film animasi dari animator2 indonesia yaaa. aamiin,senang;;;;
tolong... aku ga bisa move ob dari film jumbo. ini gabisa tidur otak nyanyi terus ost jumbo ,senang;;;;
jujur sepengen nangis itu waktu tau jumbo tembus 1jt penonton film animasi yang dibuat sm sekian ratus animator indonesia,sedih;;;;
film jumbo baguss bangett!! w nangis kejer nontonin jumbo. ,senang;;;;
guys not mark or kpop related tp tadi abis nonton film jumbo baaagus banget bye aku sampe netes sedih : ] dan lagunya omg semua bagus!,sedih;;;;
jadi mellow habis denger soundtrack film jumbo. gak anak piatu friendly ,sedih;;;;
indonesia lgi sibuk retweet pemerintah yg kek tai dukung palestine dukung film jumbo boikot produk bntu nelayan pik 2,marah;;;;
komennya pada gak ngerti kalo ini post apresiasi dari scene ikonik film jumbo kalo kata gue sih kalian semua harus nonton jumbo ,marah;;;;
sedih sekali ga bisa liat jumbo. sangat sangat sedih apalagi aku pecinta film animasi.,sedih;;;;
not to be dramatic tapi animasi jumbo berhasil merangkul inner child jiwa anak dkv dan pecinta film genre musikal-ku!!! ,senang;;;;
film jumbo bagus banget.,senang;;;;
tapi gue nangis kejer dan dengan sadar berucap gue kayak orang gapunya orang tua dah (ortu pasif) ((sama2 diurus nenek)) karakter2 film jumbo kalo disatuin masalahnya jd masalah gue semua wkwkwkwkwkwkwkwkwk,sedih;;;;
habis nonton jumbo aku mau cerita dari sudut pandangku tentang film ini. pertama dan yang paling utama adalah grafisnya gila bagus banget woii asli kyk bukan film indo deh keren banget bisa bikin sebagus ituuu!!! yang kedua ceritanya yang sangat tidak terduga karena aku-,senang;;;;
kak ryan! selamat atas 1 juta penonton jumbo! super keren super bangga! terima kasih kak ryan dan semua team udah bikin film animasi super bagus dan keren kayak jumbo. you guys did so amazing. definitely worth the long wait. congratulations once again! very very proud️️,senang;;;;
film lebaran 2025 terfavorit (basis penilaian dari sisi fokus cerita sekaligus presentasinya): komang &gt; qodrat 2 &gt; jumbo &gt; pabrik gula &gt; norma,senang
jumbo literally deserve ittt likeee fr gue bukan buzzer gue liat sndiri tadi and... bagus bgt gue smpe nangis mulu awal awal film aj dh mau nangis (maaf cengeng),senang;;;;
perasaan ku pas nonton film jumbo itu membawa memoriku ke masa kecil yg bisa dibilang sulit berbaur teman terbatas tidak dianggap tapi disisi lain adalah kesedihan dan kekhawatiran apakah justru dulu aku yg malah menjadi pelaku yg menyakiti temenku tanpa sadar.. ,sedih;;;;
guys film jumbo seru bangetttttttt wajibbb nonton 100000/1000 gua udh nangis dr awal hiks seru bangat,senang;;;;
tumben sekali maraton 2 film di bioskop dan duaa duanyaa film indonesia. daaann tidak mengecewakan semuanyaa shout out to qodrat 2 dannn jumbo and thats the end of my holidays ,senang;;;;
karena terkadang kaya film di*ney atau pix*ar cuman caranya menyelesaikan masalah terus ya udah. sedangkan jumbo tuh cukup kompleks apalagi untuk film anak2 well done teams!!! ,senang;;;;
happy bgt liat review film jumbo dimana mana krn sebaguuuus itu️,senang;;;;
sukses dibuat berurai air mata sama film jumbo,sedih;;;;
hbs nonton film jumbo bagus bgt anjir smpe bikin mewek (soalnya relate sama² ditinggal emak wkw) worth to watch 10/10 filmnya!,sedih;;;;
jumbo keren sih tapi kalo dibandingin sama ne zha 2 kebanting banget. sejauh itu ketinggalannya tapi gapapa sih good progress lah buat film animasi lokal.,senang;;;;
berencana nonton jumbo tp liat video 15 detik clip lagu nya aja menetes ini air mata like im so happy to see indonesian animation film getting more more recognition bcs trs behind the scene rekaman di studionya yg bermunculan di reels juga kek arrghh knp gua cengeng bngt -cont,sedih;;;;
nungguin jumbo sudah sejak 1000 tahun lalu terus sekarang liat filmnyo tayang dan dapat 1 juta penonton dalam 7 hari tu kekkkk so happy for the whole team behind this amazing film lahh. bangga woyyy ️️️️,senang;;;;
dari awal emang pengen nonton jumbo. pingin mengapresiasi karya anak bangsa. penasaran juga gimana hasilnya. dan gak menyesal sama sekali. yuk tonton film jumbo mumpung masih banyak di bioskop ,senang;;;;
selama scroll² sepertinya kabar baik dari indonesia adalah berhasil bikin film animasi yang keren jumbo alhamdulillah seenggaknya ada 1 kabar baik ,senang;;;;
sakatupo agak laen dan jumbo. fiks film indonesia terfavoriiitttt,senang;;;;
pagi-pagi udah mewek perkara nonton konten tiktok post raya depression &amp; yang pada abis nonton film jumbo,sedih;;;
sepanjang film inilah perasaanku semakin engga suka jumbo (bias) kalo engga gara2 promo tgif cinepol dah badmood bgt keknya,marah;;;;
film animasi lokal sukses di box office adalah tamparan besar buat ai. #jumbo,senang;;;;
cukup miris lebaran penuh dengan film horror. hadirnya jumbo bagai penyelamat tontonan yang sesuai usia bagi anak-anak ,senang;;;;
nontonnnnn film jumbo guyssss!!!! bagus bgtttt ayo hargain karyanya jangan nonton yg bajakan,senang;;;;
kemaren pas gua abis nonton jumbo tiba tiba air mata gua berlinang di akhir film sedih bngt seluruh karakter nya punya latar belakang yang berbeda beda dan buat sedih bngt. sngt recommended,sedih;;;;
kok ada ya film sebagus jumbo ,senang;;;;
sepanjang film jumbo nangis bgtt nangis karena selama ini aku jahat nya kebangetan mau nya di dengar tpi org sekitar ku masi sayang bgtt sama aku ,sedih;;;;
yaallah selalu nangia tiap video yg lwt di fyp pake soundtrack film jumbo yang selalu di nadimu,sedih;;;;
masih ter mewek-mewek sama soundtrack film jumbo pesannya bener-bener nyampe bgtt. apalagi gue semakin menyadari kalo sebenernya banyak pesan-pesan tersirat di dalam lagu yang seakan-akan jadi harapan dan doa dari semua orang tua di dunia ini.,sedih;;;;
org org nntn jumbo ktnya bagus smpe ad yg nngs gw nungguin njir sedihnya dimana ya tp emg si namanya film animasi trgetnya bocil bukan bocil segede ini,marah;;;;
sy kl nonton film jumbo lagi berapa kali pun bakal terus nangis sihhhh. bagus bgttt pgn nonton lagiii,sedih;;;;
nangis nonton kaluna ️ nangis nonton jumbo pas nyanyi nya ️ bisa2nya film kartun bocil deep bgt ost nya,sedih;;;;
padahal jumbo sebagus itu. mending fomo tapi mendukung animasi indonesia drpd film gajelas,senang;;;;
selain detail dari film jumbo. pengambilan gambar nya jg baguss bgt gak asal-asal . big respect buat seluruh yg terlibat di film animasi ini ,senang;;;;
semalam nonton jumbo bareng gery dan film jumbo bagus banget,senang;;;;
film jumbo sing ngeselin jumbo e ternyata,marah;;;;
orang dewasa kayak kita juga banyak pelajaran yg dipetik dr film jumbo. aku aja banyak tersentil hiks. mau sebutin quotes2 nya tapi takut spoiler krn ku ga suka dispoiler.,takut;;;;
gue bisa aja nonton jumbo sendiri tp gue mau ajak ponakan2 jiga w biar mereka tau kalo indonesia punya film animasi bagus gue mau mereka jg ngerasain experience nonton jumbo kmrn diajaki ga mai krn blm engeh bsk coba lagiiii,senang;;;;
film jumbo bener-bener keren banget. aku juga mau punya radio nya... ,senang;;;;
jumbo film yang bagus dan memuaskan ygmna hasil karya dari one of the most talented indonesia comedian dan one of the most talented indonesian animator ,senang;;;;
pengen nonton jumbo sekeluarga kecilku. tapi bocilku blm cukup umur utk duduk tenang menikmati film ,takut;;;;
tahun ini lebaran filmnya emang keren semua tapi gw pilih nonton jumbo sama qodrat 2 karena penasaran sama animasi indonesia dan qodrat 1 adalah salah satu film horor favorit jadi penasaran sama sequelnya dan semuanya memuaskan,senang;;;;
bener2 langsung keinget coco pas scene sama oma menurutku film jumbo bagus banget! tapi jujur buat film yg target audiencenya anak2 tuh terlalu kompleks. but anak2 kan biasanya menikmati aja yah ga terlalu banyak mikir kenapa begini begitu. jadi rate aku 8.5/10,senang;;;;
btw aku semalem nonton jumbo di awal film udah nangis aja wqwq,sedih;;;;
film jumbo ini sederhana tapi seheart warming itu buat gua ga lebay tapi nyess bangett terutama cara dia berdamai sama yang namanya kehilangan dan terus berjuang walaupun semua orang ngeunder estimate dia,sedih;;;;
gue mikir keras siapa pengisi suara oma don di film jumbo. gak asing banget suaranya kayak kenal.. setelah cek ulang ternyata ibu ratna riantiarno teater koma.. (kaget sekagetnya) pantes keren banget itu sih oma..,senang;;;;
film jumbo hit me very hard nangeees bgt karna relate dgn hidup setelah kehilangan orang tua :' huhu,sedih;;;;
yg suka film ghibli when marnie was there kalo nonton jumbo pasti langsung ngerasa merinding aku suka plot yg kyk gini.,senang;;;;
mataku udah sembab dari kemarin nangisin film jumbo literally bengkakkk,sedih;;;;
efek nonton film jumbo beberapa hari lalu w masih ga berhenti nangis apalagi kalo denger soundtracknya. kayak.. masih ga nyangka indonesia bisa bikin animasi sehebat itu yang storylinenya magic bgt dan setiap scenenya deep banget dri awal smpe akhir dibuat nangis wkwk,sedih;;;;
lagipula film animasi sekelas #jumbo ini sudah banyak buzzer gratisan yang benar-benar sudah menonton dan apresiasi pakai hati. seharusnya dukungan pemerintah lebih diarahkan supaya film sejenis #jumbo ini terus eksis dan berkembang.... ‍️,marah;;;;
maaf bang jadi nulis bang rian jadi bang ryan awkwakwak semoga jumbo dapet 4jt penonton biar bisa nonton stand up comedynya hohohoho terakhir liat di malam minggu miko tiba tiba bikin film animasi sebagus jumbo,senang;;;;
bener kata film jumbo sedikit demi sedikit kau akan berteman dengan pahitnya dunia. kek pas lg disituasi dimana keknya gakuat tp selalu inget 'gapapa udah biasa kan kaya gini' hehe,takut;;;;
baguss bangett film jumbo! + ga nyangka trio kambing mbekk itu ternyata pengisi suaranya para aktor ternama juga : d,senang;;;;
dari nonton film jumbo gw merasakan sesuatu yg berbeda di bioskop ternyata bioskop dipenuhi anak2 dan sesuai dengan tontonannya itu begitu hangat dan menyenangkan yah ,senang;;;;
film jumbo unexpected bagus bgt,senang;;;;
jumbo bgs bngt teman2... nonton deh kl punya wkt. gw suka crita dan animasinya. superb!!! sempet bikin gw kangen bokap nyokap. jd smpet cengeng. etapi itu cengeng krn gabungan kangen bokap nyokap ceritanya si film dan liat animasinya. aduh ️️️️️️️,sedih;;;;
film jumbo bikin flashback kenangan smaa mbahkuu weii,sedih;;;;
kak gua nangus kejer grgr liat cuplikan film jumbo ,sedih;;;;
film jumbo membuatku mewek,sedih;;;;
film jumbo mengajarkan bersekutu dengan jin bjir,takut;;;;
aku penasaran yg point out jumbo kurang krn ada hantunya dan bilang itu kurang realistik tu proses berpikirnya gimana kek beneran gk nangkep kah kalo film jumbo itu ya . fantasi,takut;;;;
dalam judul: gideon dan paguyuban bocilnya. btw terima kasih jumbo udah jadi film yang sangat asik ditonton bareng keluarga!,senang;;;;
jumbo adalah film yg beneran ngebangkitin inner child gua,senang;;;;
film jumbo bagus bgtttt sukaa bkl rewatch si ,senang;;;;
awalnya aku gamau nonton karena jumbo mirip si gemoy tapi kaya yaudah lah kepo banget. eh anjir ternyata sebagus itu... masih amazed ternyata indonesia bisa bikin film animasi sekeren ini loh. sountracknya juga bagus-bagus. makin notice si queen salman deh temennya rara kan doi,senang;;;;
jatuh cinta sama film jumbo ,senang;;;;
lagi suka bngttt sm film² yg sekarang lg tayang kecuali horor karna ga pernah nonton horor. dari jumbo dan komang tuh beneran keren bngt film nyaa!! semua pesan tersampaikan dengan baik dan nonton sampe 2 jam tuh ga bosen!!,senang;;;;
please lah ini mah semuanya harus nonton film jumbo. honest review bagus bgt : ) #jumbo,senang;;;;
mvp di film jumbo definitely bukan don atau meri tapi tentu saja adalah nurman. karakter green flag yg belum tentu ada di tiap tongkrongan.,senang;;;;
udah hari keberapa rilis dan masih rame bgt penontonnya. you can see and feel the heart and dedication of the creators clearly. oh to do the things you love. bangga nonton film sebagus jumbo. bangga produk lokal dari seniman lokal!,senang;;;;
ditengah ramainya film jumbo aku mau berpendapat. sebagai orang yg juga gemuk dari kecil kalau ada yg manggil gendut gede gebrot and ya jumbo jujur effect dan keingetnya sampai sekarang. semoga dengan hypenya film ini nggak menormalisasi manggil orang gemuk dg jumbo ,takut;;;;
emang dongo2 orang indo dikasih film bagus kayak jumbo malah yg dipikirin setannya,marah;;;;
adegan don gak diajak main di film jumbo bikin aku menangis karena teringat masa kecilku. bedanya aku dulu cengeng tetapi don masih kuat dan ceria. terima kasih untuk visinema dan bang ryan yang udah bikin film ini. bagian awal tengah dan akhir film bisa bikin sedih.,sedih;;;;
akhirnya kesampaian juga nonton #jumbo. film yg terasa banget dibuat dgn sepenuh hati &amp; cinta. semoga ke depan makin banyak film2 indonesia yg seperti ini ️️,senang;;;
film jumbo dituduh musyrik sama orang tua yang tontonan masa kecilnya adalah jin &amp; jun sama tuyul &amp; mbak yul ,takut;;
